Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1703726279938,28/12/2023 01:17:59,1703726279938,0,28/12/2023 01:17:59,158033,3,questionnaire-eibn,,33876896,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Feedback,2,,control,,,,set 1,Controls,ACCEPT,,,,,,5,,BEGIN,,,,,
2,1703726298670,28/12/2023 01:18:18,1703726298670,0,28/12/2023 01:18:18,158033,3,questionnaire-eibn,,33876896,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Feedback,2,,control,,,,set 1,Controls,ACCEPT,,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,value,A quiet public space with minimal distraction (such as a library).,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,1,object-2
3,1703726298670,28/12/2023 01:18:18,1703726298670,0,28/12/2023 01:18:18,158033,3,questionnaire-eibn,,33876896,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Feedback,2,,control,,,,set 1,Controls,ACCEPT,,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,quantised,2,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,1,object-2
4,1703726298671,28/12/2023 01:18:18,1703726298671,0,28/12/2023 01:18:18,158033,3,questionnaire-eibn,,33876896,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Feedback,2,,control,,,,set 1,Controls,ACCEPT,,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,No,1,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
5,1703726298671,28/12/2023 01:18:18,1703726298671,0,28/12/2023 01:18:18,158033,3,questionnaire-eibn,,33876896,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Feedback,2,,control,,,,set 1,Controls,ACCEPT,,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, to answer a call.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
6,1703726298672,28/12/2023 01:18:18,1703726298672,0,28/12/2023 01:18:18,158033,3,questionnaire-eibn,,33876896,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Feedback,2,,control,,,,set 1,Controls,ACCEPT,,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I checked my messages.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
7,1703726298672,28/12/2023 01:18:18,1703726298672,0,28/12/2023 01:18:18,158033,3,questionnaire-eibn,,33876896,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Feedback,2,,control,,,,set 1,Controls,ACCEPT,,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I played music.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
8,1703726298673,28/12/2023 01:18:18,1703726298673,0,28/12/2023 01:18:18,158033,3,questionnaire-eibn,,33876896,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Feedback,2,,control,,,,set 1,Controls,ACCEPT,,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I had video playing on the side.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
9,1703726298674,28/12/2023 01:18:18,1703726298674,0,28/12/2023 01:18:18,158033,3,questionnaire-eibn,,33876896,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Feedback,2,,control,,,,set 1,Controls,ACCEPT,,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,__other,0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
10,1703726298674,28/12/2023 01:18:18,1703726298674,0,28/12/2023 01:18:18,158033,3,questionnaire-eibn,,33876896,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Feedback,2,,control,,,,set 1,Controls,ACCEPT,,Page 1,rnfxsa,1,How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.,response,value,,,,fb_comment,3,object-4
11,1703726298675,28/12/2023 01:18:18,1703726298675,0,28/12/2023 01:18:18,158033,3,questionnaire-eibn,,33876896,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Feedback,2,,control,,,,set 1,Controls,ACCEPT,,,,,,5,,END,,,,,
1,1704218507822,02/01/2024 18:01:47,1704218507822,0,02/01/2024 18:01:47,158033,3,questionnaire-eibn,,33920730,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Feedback,2,,control,,,,set 2,Controls,ACCEPT,,,,,,5,,BEGIN,,,,,
2,1704218553842,02/01/2024 18:02:33,1704218553842,0,02/01/2024 18:02:33,158033,3,questionnaire-eibn,,33920730,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Feedback,2,,control,,,,set 2,Controls,ACCEPT,,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,value,__other,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,1,object-2
3,1704218553842,02/01/2024 18:02:33,1704218553842,0,02/01/2024 18:02:33,158033,3,questionnaire-eibn,,33920730,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Feedback,2,,control,,,,set 2,Controls,ACCEPT,,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,quantised,4,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,1,object-2
4,1704218553842,02/01/2024 18:02:33,1704218553842,0,02/01/2024 18:02:33,158033,3,questionnaire-eibn,,33920730,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,0,Feedback,2,,control,,,,set 2,Controls,ACCEPT,,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,other,Busy household ,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,1,object-2
