Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1719918833225,02/07/2024 11:13:53,1719922433225,1,02/07/2024 13:13:53,179131,14,questionnaire-ephm,,38674089,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Dimensional Obsessive-Compulsive Scale,7,Set2,Consent,Over 18,Proficiency English,,,,,info,,BEGIN,,,,,
2,1719919036987,02/07/2024 11:17:16,1719922636987,1,02/07/2024 13:17:16,179131,14,questionnaire-ephm,,38674089,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Dimensional Obsessive-Compulsive Scale,7,Set2,Consent,Over 18,Proficiency English,Page 3,mas9ez,3,About how much time have you spent each day thinking about contamination and engaging in washing or cleaning behaviors because of contamination?,response,value,Less than 1 hour each day,,None at all|Less than 1 hour each day|Between 1 and 3 hours each day|Between 3 and 8 hours each day|8 hours or more each day,Category 1: Q1,2,object-8
3,1719919036987,02/07/2024 11:17:16,1719922636987,1,02/07/2024 13:17:16,179131,14,questionnaire-ephm,,38674089,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Dimensional Obsessive-Compulsive Scale,7,Set2,Consent,Over 18,Proficiency English,Page 3,mas9ez,3,About how much time have you spent each day thinking about contamination and engaging in washing or cleaning behaviors because of contamination?,response,quantised,2,,None at all|Less than 1 hour each day|Between 1 and 3 hours each day|Between 3 and 8 hours each day|8 hours or more each day,Category 1: Q1,2,object-8
4,1719919036988,02/07/2024 11:17:16,1719922636988,1,02/07/2024 13:17:16,179131,14,questionnaire-ephm,,38674089,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Dimensional Obsessive-Compulsive Scale,7,Set2,Consent,Over 18,Proficiency English,Page 3,mas9ez,3,"To what extent have you avoided situations in order to prevent concerns with contamination or having to spend time washing, cleaning, or showering?",response,value,A moderate amount of avoidance,,None at all|A little avoidance|A moderate amount of avoidance|A great deal of avoidance|Extreme avoidance of nearly all things,Category 1: Q2,3,object-9
5,1719919036988,02/07/2024 11:17:16,1719922636988,1,02/07/2024 13:17:16,179131,14,questionnaire-ephm,,38674089,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Dimensional Obsessive-Compulsive Scale,7,Set2,Consent,Over 18,Proficiency English,Page 3,mas9ez,3,"To what extent have you avoided situations in order to prevent concerns with contamination or having to spend time washing, cleaning, or showering?",response,quantised,3,,None at all|A little avoidance|A moderate amount of avoidance|A great deal of avoidance|Extreme avoidance of nearly all things,Category 1: Q2,3,object-9
6,1719919036988,02/07/2024 11:17:16,1719922636988,1,02/07/2024 13:17:16,179131,14,questionnaire-ephm,,38674089,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Dimensional Obsessive-Compulsive Scale,7,Set2,Consent,Over 18,Proficiency English,Page 3,mas9ez,3,"If you had thoughts about contamination but could not wash, clean, or shower (or otherwise remove the contamination), how distressed or anxious did you become?",response,value,Moderately distressed/anxious,,Not at all distressed/anxious|Mildly distressed/anxious|Moderately distressed/anxious|Severely distressed/anxious|Extremely distressed/anxious,Category 1: Q3,4,object-10
7,1719919036989,02/07/2024 11:17:16,1719922636989,1,02/07/2024 13:17:16,179131,14,questionnaire-ephm,,38674089,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Dimensional Obsessive-Compulsive Scale,7,Set2,Consent,Over 18,Proficiency English,Page 3,mas9ez,3,"If you had thoughts about contamination but could not wash, clean, or shower (or otherwise remove the contamination), how distressed or anxious did you become?",response,quantised,3,,Not at all distressed/anxious|Mildly distressed/anxious|Moderately distressed/anxious|Severely distressed/anxious|Extremely distressed/anxious,Category 1: Q3,4,object-10
8,1719919036989,02/07/2024 11:17:16,1719922636989,1,02/07/2024 13:17:16,179131,14,questionnaire-ephm,,38674089,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Dimensional Obsessive-Compulsive Scale,7,Set2,Consent,Over 18,Proficiency English,Page 3,mas9ez,3,"To what extent has your daily routine (work, school, self-care, social life) been disrupted by contamination concerns and excessive washing, showering, cleaning, or avoidance behaviors?",response,value,"A little disruption, but I mostly function well.",,"No disruption at all.|A little disruption, but I mostly function well.|Many things are disrupted, but I can still manage.|My life is disrupted in many ways and I have trouble managing.|My life is completely disrupted and I cannot function at all.",Category 1: Q4,5,object-11
9,1719919036990,02/07/2024 11:17:16,1719922636990,1,02/07/2024 13:17:16,179131,14,questionnaire-ephm,,38674089,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Dimensional Obsessive-Compulsive Scale,7,Set2,Consent,Over 18,Proficiency English,Page 3,mas9ez,3,"To what extent has your daily routine (work, school, self-care, social life) been disrupted by contamination concerns and excessive washing, showering, cleaning, or avoidance behaviors?",response,quantised,2,,"No disruption at all.|A little disruption, but I mostly function well.|Many things are disrupted, but I can still manage.|My life is disrupted in many ways and I have trouble managing.|My life is completely disrupted and I cannot function at all.",Category 1: Q4,5,object-11
10,1719919036990,02/07/2024 11:17:16,1719922636990,1,02/07/2024 13:17:16,179131,14,questionnaire-ephm,,38674089,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Dimensional Obsessive-Compulsive Scale,7,Set2,Consent,Over 18,Proficiency English,Page 3,mas9ez,3,"How difficult is it for you to disregard thoughts about contamination and refrain from behaviors such as washing, showering, cleaning, and other decontamination routines when you try to do so?",response,value,Moderately difficult,,Not at all difficult|A little difficult|Moderately difficult|Very difficult|Extremely difficult,Category 1: Q5,6,object-12
