Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Randomise questionnaire elements?,Question Key,Response,branch-s3b7,branch-wcx7,branch-spxp
1,1754561145803,07/08/2025 10:05,1754561145002,1,07/08/2025 11:05,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,BEGIN QUESTIONNAIRE,,Eligible,Voucher,Yes
2,1754561330617,07/08/2025 10:08,1754561329557,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 1 ,Slightly Disagree,Eligible,Voucher,Yes
3,1754561330749,07/08/2025 10:08,1754561329560,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 1 -quantised,3,Eligible,Voucher,Yes
4,1754561330749,07/08/2025 10:08,1754561329561,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 2 ,Slightly Agree,Eligible,Voucher,Yes
5,1754561330749,07/08/2025 10:08,1754561329561,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 2 -quantised,2,Eligible,Voucher,Yes
6,1754561330749,07/08/2025 10:08,1754561329561,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 3 ,Definitely Disagree,Eligible,Voucher,Yes
7,1754561330749,07/08/2025 10:08,1754561329561,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 3 -quantised,4,Eligible,Voucher,Yes
8,1754561330749,07/08/2025 10:08,1754561329562,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 4 ,Slightly Disagree,Eligible,Voucher,Yes
9,1754561330749,07/08/2025 10:08,1754561329562,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 4 -quantised,3,Eligible,Voucher,Yes
10,1754561330749,07/08/2025 10:08,1754561329562,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 5,Slightly Disagree,Eligible,Voucher,Yes
11,1754561330749,07/08/2025 10:08,1754561329562,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 5-quantised,3,Eligible,Voucher,Yes
12,1754561330749,07/08/2025 10:08,1754561329563,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 6 ,Slightly Agree,Eligible,Voucher,Yes
13,1754561330749,07/08/2025 10:08,1754561329563,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 6 -quantised,2,Eligible,Voucher,Yes
14,1754561330749,07/08/2025 10:08,1754561329563,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 7,Slightly Agree,Eligible,Voucher,Yes
15,1754561330749,07/08/2025 10:08,1754561329563,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 7-quantised,2,Eligible,Voucher,Yes
16,1754561330749,07/08/2025 10:08,1754561329564,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 8 ,Definitely Disagree,Eligible,Voucher,Yes
17,1754561330749,07/08/2025 10:08,1754561329565,1,07/08/2025 11:08,233799,28,questionnaire-zmbq,,48573772,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 8 -quantised,4,Eligible,Voucher,Yes
