Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Randomise questionnaire elements?,Question Key,Response,branch-s3b7,branch-dgjt
1,1753197786287,22/07/2025 15:23,1753197786943,1,22/07/2025 16:23,234742,8,questionnaire-ja44,,48248881,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,,Consent form,5,probe_selfreport,No,BEGIN QUESTIONNAIRE,,Eligible,Voucher
2,1753197811651,22/07/2025 15:23,1753197812369,1,22/07/2025 16:23,234742,8,questionnaire-ja44,,48248881,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,Consent form,5,probe_selfreport,No,consent1,1,Eligible,Voucher
3,1753197811738,22/07/2025 15:23,1753197812372,1,22/07/2025 16:23,234742,8,questionnaire-ja44,,48248881,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,Consent form,5,probe_selfreport,No,consent2,1,Eligible,Voucher
4,1753197811738,22/07/2025 15:23,1753197812373,1,22/07/2025 16:23,234742,8,questionnaire-ja44,,48248881,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,Consent form,5,probe_selfreport,No,consent3,1,Eligible,Voucher
5,1753197811738,22/07/2025 15:23,1753197812373,1,22/07/2025 16:23,234742,8,questionnaire-ja44,,48248881,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,Consent form,5,probe_selfreport,No,consent5,1,Eligible,Voucher
6,1753197811738,22/07/2025 15:23,1753197812373,1,22/07/2025 16:23,234742,8,questionnaire-ja44,,48248881,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,Consent form,5,probe_selfreport,No,consent6,1,Eligible,Voucher
7,1753197811738,22/07/2025 15:23,1753197812373,1,22/07/2025 16:23,234742,8,questionnaire-ja44,,48248881,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,Consent form,5,probe_selfreport,No,consent7,1,Eligible,Voucher
8,1753197811738,22/07/2025 15:23,1753197812374,1,22/07/2025 16:23,234742,8,questionnaire-ja44,,48248881,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,Consent form,5,probe_selfreport,No,consent8,1,Eligible,Voucher
9,1753197811738,22/07/2025 15:23,1753197812374,1,22/07/2025 16:23,234742,8,questionnaire-ja44,,48248881,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,Consent form,5,probe_selfreport,No,consent9,1,Eligible,Voucher
10,1753197811738,22/07/2025 15:23,1753197812374,1,22/07/2025 16:23,234742,8,questionnaire-ja44,,48248881,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,Consent form,5,probe_selfreport,No,consent10,1,Eligible,Voucher
11,1753197811738,22/07/2025 15:23,1753197812375,1,22/07/2025 16:23,234742,8,questionnaire-ja44,,48248881,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,Consent form,5,probe_selfreport,No,END QUESTIONNAIRE,25432,Eligible,Voucher
1,1753200059033,22/07/2025 16:00,1753200058995,1,22/07/2025 17:00,234742,8,questionnaire-ja44,,48249920,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,Consent form,5,selfreport_probe,No,BEGIN QUESTIONNAIRE,,Eligible,Voucher
2,1753200065583,22/07/2025 16:01,1753200065607,1,22/07/2025 17:01,234742,8,questionnaire-ja44,,48249920,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,Consent form,5,selfreport_probe,No,consent1,1,Eligible,Voucher
3,1753200065678,22/07/2025 16:01,1753200065609,1,22/07/2025 17:01,234742,8,questionnaire-ja44,,48249920,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,Consent form,5,selfreport_probe,No,consent2,1,Eligible,Voucher
4,1753200065678,22/07/2025 16:01,1753200065609,1,22/07/2025 17:01,234742,8,questionnaire-ja44,,48249920,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,Consent form,5,selfreport_probe,No,consent3,1,Eligible,Voucher
5,1753200065678,22/07/2025 16:01,1753200065609,1,22/07/2025 17:01,234742,8,questionnaire-ja44,,48249920,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,Consent form,5,selfreport_probe,No,consent5,1,Eligible,Voucher
6,1753200065678,22/07/2025 16:01,1753200065609,1,22/07/2025 17:01,234742,8,questionnaire-ja44,,48249920,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,Consent form,5,selfreport_probe,No,consent6,1,Eligible,Voucher
7,1753200065678,22/07/2025 16:01,1753200065609,1,22/07/2025 17:01,234742,8,questionnaire-ja44,,48249920,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,Consent form,5,selfreport_probe,No,consent7,1,Eligible,Voucher
8,1753200065678,22/07/2025 16:01,1753200065609,1,22/07/2025 17:01,234742,8,questionnaire-ja44,,48249920,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,Consent form,5,selfreport_probe,No,consent8,1,Eligible,Voucher
9,1753200065678,22/07/2025 16:01,1753200065609,1,22/07/2025 17:01,234742,8,questionnaire-ja44,,48249920,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,Consent form,5,selfreport_probe,No,consent9,1,Eligible,Voucher
10,1753200065678,22/07/2025 16:01,1753200065609,1,22/07/2025 17:01,234742,8,questionnaire-ja44,,48249920,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,Consent form,5,selfreport_probe,No,consent10,1,Eligible,Voucher
11,1753200065678,22/07/2025 16:01,1753200065609,1,22/07/2025 17:01,234742,8,questionnaire-ja44,,48249920,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,Consent form,5,selfreport_probe,No,END QUESTIONNAIRE,6614,Eligible,Voucher
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
