Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Randomise questionnaire elements?,Question Key,Response,branch-s3b7,branch-dgjt
1,1753206603748,22/07/2025 17:50,1753206603466,1,22/07/2025 18:50,234742,9,questionnaire-fif4,,48252637,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,,Participant Info Sheet,8,selfreport_probe,No,BEGIN QUESTIONNAIRE,,Eligible,No Voucher
2,1753206768005,22/07/2025 17:52,1753206767663,1,22/07/2025 18:52,234742,9,questionnaire-fif4,,48252637,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,,Participant Info Sheet,8,selfreport_probe,No,END QUESTIONNAIRE,164197,Eligible,No Voucher
1,1753259925797,23/07/2025 08:38,1753259925695,1,23/07/2025 09:38,234742,9,questionnaire-fif4,,48259930,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,Participant Info Sheet,8,probe_selfreport,No,BEGIN QUESTIONNAIRE,,Eligible,Voucher
2,1753260058780,23/07/2025 08:40,1753260058600,1,23/07/2025 09:40,234742,9,questionnaire-fif4,,48259930,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,Participant Info Sheet,8,probe_selfreport,No,END QUESTIONNAIRE,132905,Eligible,Voucher
1,1753262843647,23/07/2025 09:27,1753262845496,1,23/07/2025 10:27,234742,9,questionnaire-fif4,,48260695,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,,Participant Info Sheet,8,selfreport_probe,No,BEGIN QUESTIONNAIRE,,Eligible,Voucher
2,1753262969679,23/07/2025 09:29,1753262971370,1,23/07/2025 10:29,234742,9,questionnaire-fif4,,48260695,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1257x594,,,,Participant Info Sheet,8,selfreport_probe,No,END QUESTIONNAIRE,125874,Eligible,Voucher
1,1753263872621,23/07/2025 09:44,1753263872472,1,23/07/2025 10:44,234742,9,questionnaire-fif4,,48260908,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,Participant Info Sheet,8,probe_selfreport,No,BEGIN QUESTIONNAIRE,,Eligible,Voucher
2,1753264052964,23/07/2025 09:47,1753264052689,1,23/07/2025 10:47,234742,9,questionnaire-fif4,,48260908,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,Participant Info Sheet,8,probe_selfreport,No,END QUESTIONNAIRE,180217,Eligible,Voucher
1,1753273730852,23/07/2025 12:28,1753273730918,1,23/07/2025 13:28,234742,9,questionnaire-fif4,,48265285,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,,Participant Info Sheet,8,selfreport_probe,No,BEGIN QUESTIONNAIRE,,Eligible,Voucher
2,1753273768208,23/07/2025 12:29,1753273768319,1,23/07/2025 13:29,234742,9,questionnaire-fif4,,48265285,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,Participant Info Sheet,8,selfreport_probe,No,END QUESTIONNAIRE,37401,Eligible,Voucher
