Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1740490294475,25/02/2025 13:31:34,1740490294475,0,25/02/2025 13:31:34,201675,16,questionnaire-x1jo,,43797545,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Feedback,2,Digital A,Consent,Over 17,English as 1st language,,,,,info,,BEGIN,,,,,
2,1740490374993,25/02/2025 13:32:54,1740490374993,0,25/02/2025 13:32:54,201675,16,questionnaire-x1jo,,43797545,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Feedback,2,Digital A,Consent,Over 17,English as 1st language,Page 1,rnfxsa,1,How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.,response,value,My experience of this experiment was good. I did find myself looking at the clock to see if I was completing the tasks too quickly. ,,,fb_comment,1,object-4
3,1740490374993,25/02/2025 13:32:54,1740490374993,0,25/02/2025 13:32:54,201675,16,questionnaire-x1jo,,43797545,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Feedback,2,Digital A,Consent,Over 17,English as 1st language,,,,,info,,END,80511,,,,
1,1740738968530,28/02/2025 10:36:08,1740738968530,0,28/02/2025 10:36:08,201675,16,questionnaire-x1jo,,43915557,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Feedback,2,Physical B,Consent,Over 17,English as 1st language,,,,,info,,BEGIN,,,,,
2,1740739007928,28/02/2025 10:36:47,1740739007928,0,28/02/2025 10:36:47,201675,16,questionnaire-x1jo,,43915557,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Feedback,2,Physical B,Consent,Over 17,English as 1st language,Page 1,rnfxsa,1,How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.,response,value,this experiment was very interesting and easy to understand the tasks which needed to be completed.,,,fb_comment,1,object-4
3,1740739007928,28/02/2025 10:36:47,1740739007928,0,28/02/2025 10:36:47,201675,16,questionnaire-x1jo,,43915557,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Feedback,2,Physical B,Consent,Over 17,English as 1st language,,,,,info,,END,39390,,,,
1,1740749109255,28/02/2025 13:25:09,1740749109255,0,28/02/2025 13:25:09,201675,16,questionnaire-x1jo,,43920738,BLIND,12533360,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Consent,,0,Feedback,2,Digital B,Consent,Over 17,English as 1st language,,,,,info,,BEGIN,,,,,
2,1740749133356,28/02/2025 13:25:33,1740749133356,0,28/02/2025 13:25:33,201675,16,questionnaire-x1jo,,43920738,BLIND,12533360,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Consent,,0,Feedback,2,Digital B,Consent,Over 17,English as 1st language,Page 1,rnfxsa,1,How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.,response,value,I found the passages interesting to read about,,,fb_comment,1,object-4
3,1740749133356,28/02/2025 13:25:33,1740749133356,0,28/02/2025 13:25:33,201675,16,questionnaire-x1jo,,43920738,BLIND,12533360,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Consent,,0,Feedback,2,Digital B,Consent,Over 17,English as 1st language,,,,,info,,END,24094,,,,
1,1741088435100,04/03/2025 11:40:35,1741088435100,0,04/03/2025 11:40:35,201675,16,questionnaire-x1jo,,44039679,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Feedback,2,Physical A,Consent,Over 17,English as 1st language,,,,,info,,BEGIN,,,,,
2,1741088479103,04/03/2025 11:41:19,1741088479103,0,04/03/2025 11:41:19,201675,16,questionnaire-x1jo,,44039679,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Feedback,2,Physical A,Consent,Over 17,English as 1st language,Page 1,rnfxsa,1,How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.,response,value,"good experience, simple and easy to understrand instructions",,,fb_comment,1,object-4
3,1741088479104,04/03/2025 11:41:19,1741088479104,0,04/03/2025 11:41:19,201675,16,questionnaire-x1jo,,44039679,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Feedback,2,Physical A,Consent,Over 17,English as 1st language,,,,,info,,END,43994,,,,
1,1741098228602,04/03/2025 14:23:48,1741098228602,0,04/03/2025 14:23:48,201675,16,questionnaire-x1jo,,44047018,BLIND,12533363,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Consent,,0,Feedback,2,Digital A,Consent,Over 17,English as 1st language,,,,,info,,BEGIN,,,,,
2,1741098372774,04/03/2025 14:26:12,1741098372774,0,04/03/2025 14:26:12,201675,16,questionnaire-x1jo,,44047018,BLIND,12533363,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Consent,,0,Feedback,2,Digital A,Consent,Over 17,English as 1st language,Page 1,rnfxsa,1,How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.,response,value,"Shorter than expected, though perhaps this is due to my own reading speed.

Outside of the results and data that are to be used, I did find it enjoyable to test my reading comprehension and short-term memory in such a way.",,,fb_comment,1,object-4
3,1741098372774,04/03/2025 14:26:12,1741098372774,0,04/03/2025 14:26:12,201675,16,questionnaire-x1jo,,44047018,BLIND,12533363,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Consent,,0,Feedback,2,Digital A,Consent,Over 17,English as 1st language,,,,,info,,END,144166,,,,
1,1741098533949,04/03/2025 14:28:53,1741098533949,0,04/03/2025 14:28:53,201675,16,questionnaire-x1jo,,44047382,BLIND,12533362,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Feedback,2,Digital B,Consent,Over 17,English as 1st language,,,,,info,,BEGIN,,,,,
2,1741098730730,04/03/2025 14:32:10,1741098730730,0,04/03/2025 14:32:10,201675,16,questionnaire-x1jo,,44047382,BLIND,12533362,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Feedback,2,Digital B,Consent,Over 17,English as 1st language,Page 1,rnfxsa,1,How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.,response,value,I personally felt more attentive to the paper condition -despite increased intentional and unintentional wandering- compared to the online condition.,,,fb_comment,1,object-4
3,1741098730730,04/03/2025 14:32:10,1741098730730,0,04/03/2025 14:32:10,201675,16,questionnaire-x1jo,,44047382,BLIND,12533362,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Feedback,2,Digital B,Consent,Over 17,English as 1st language,,,,,info,,END,196773,,,,
